timestamp,cpu_seconds,pm_bytes,ws_bytes
2025-11-13T01:17:23,System.Object[],System.Object[],System.Object[]
2025-11-13T01:17:28,System.Object[],System.Object[],System.Object[]
2025-11-13T01:17:33,System.Object[],System.Object[],System.Object[]
2025-11-13T01:17:39,System.Object[],System.Object[],System.Object[]
2025-11-13T01:17:44,System.Object[],System.Object[],System.Object[]
2025-11-13T01:17:49,System.Object[],System.Object[],System.Object[]
2025-11-13T01:17:54,System.Object[],System.Object[],System.Object[]
2025-11-13T01:17:59,System.Object[],System.Object[],System.Object[]
2025-11-13T01:18:04,System.Object[],System.Object[],System.Object[]
2025-11-13T01:18:09,System.Object[],System.Object[],System.Object[]
2025-11-13T01:18:14,System.Object[],System.Object[],System.Object[]
2025-11-13T01:18:19,System.Object[],System.Object[],System.Object[]
2025-11-13T01:18:24,System.Object[],System.Object[],System.Object[]
2025-11-13T01:18:29,System.Object[],System.Object[],System.Object[]
2025-11-13T01:18:34,System.Object[],System.Object[],System.Object[]
2025-11-13T01:18:39,System.Object[],System.Object[],System.Object[]
2025-11-13T01:18:44,System.Object[],System.Object[],System.Object[]
2025-11-13T01:18:49,System.Object[],System.Object[],System.Object[]
2025-11-13T01:18:54,System.Object[],System.Object[],System.Object[]
2025-11-13T01:18:59,System.Object[],System.Object[],System.Object[]
2025-11-13T01:19:04,System.Object[],System.Object[],System.Object[]
2025-11-13T01:19:09,System.Object[],System.Object[],System.Object[]
2025-11-13T01:19:14,System.Object[],System.Object[],System.Object[]
2025-11-13T01:19:19,System.Object[],System.Object[],System.Object[]
2025-11-13T01:19:24,System.Object[],System.Object[],System.Object[]
2025-11-13T01:19:29,System.Object[],System.Object[],System.Object[]
2025-11-13T01:19:34,System.Object[],System.Object[],System.Object[]
2025-11-13T01:19:39,System.Object[],System.Object[],System.Object[]
2025-11-13T01:19:44,System.Object[],System.Object[],System.Object[]
2025-11-13T01:19:49,System.Object[],System.Object[],System.Object[]
2025-11-13T01:19:54,System.Object[],System.Object[],System.Object[]
2025-11-13T01:19:59,System.Object[],System.Object[],System.Object[]
2025-11-13T01:20:04,System.Object[],System.Object[],System.Object[]
2025-11-13T01:20:09,System.Object[],System.Object[],System.Object[]
2025-11-13T01:20:14,System.Object[],System.Object[],System.Object[]
2025-11-13T01:20:19,System.Object[],System.Object[],System.Object[]
2025-11-13T01:20:24,System.Object[],System.Object[],System.Object[]
2025-11-13T01:20:29,System.Object[],System.Object[],System.Object[]
2025-11-13T01:20:34,System.Object[],System.Object[],System.Object[]
2025-11-13T01:20:39,System.Object[],System.Object[],System.Object[]
2025-11-13T01:20:44,System.Object[],System.Object[],System.Object[]
2025-11-13T01:20:49,System.Object[],System.Object[],System.Object[]
2025-11-13T01:20:54,System.Object[],System.Object[],System.Object[]
2025-11-13T01:20:59,System.Object[],System.Object[],System.Object[]
2025-11-13T01:21:04,System.Object[],System.Object[],System.Object[]
2025-11-13T01:21:09,System.Object[],System.Object[],System.Object[]
2025-11-13T01:21:14,System.Object[],System.Object[],System.Object[]
2025-11-13T01:21:19,System.Object[],System.Object[],System.Object[]
2025-11-13T01:21:24,System.Object[],System.Object[],System.Object[]
2025-11-13T01:21:29,System.Object[],System.Object[],System.Object[]
2025-11-13T01:21:34,System.Object[],System.Object[],System.Object[]
